Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_URL,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Team2_Name,Custom_Opponent,Event_ID,Game_ID,Affects_Standings,Points_Win,Points_Loss,Points_Tie,Points_OT_Win,Points_OT_Loss,Division_Override
3/5/22,22:00,3/6/22,0:00,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS1,,1,12CGFS2,,,,,,,,,,,,
3/5/22,22:00,3/6/22,0:00,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS3,,1,12CGFS4,,,,,,,,,,,,
3/10/22,17:00,3/10/22,19:00,,,"Foothill Main",,"13919 Lynde Ave, Saratoga, CA 95070",,Game,,12CGFS1,,0,12CGFS1,,CGFS1,TRUE,,,,,,,,,
3/10/22,17:00,3/10/22,19:00,,,"MVRC-A (Field closest to the snack shack and parking lot off Voss Ave.)",,"22601 Voss Ave, Cupertino, CA 95014",,Game,,12CGFS4,,0,12CGFS4,,CGFS4,TRUE,,,,,,,,,
3/10/22,16:30,3/10/22,18:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS2,,1,12MH2,,MH2,TRUE,,,,,,,,,
3/10/22,16:30,3/10/22,18:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS3,,1,12WVS2,,WVS2,TRUE,,,,,,,,,
3/12/22,13:00,3/12/22,15:00,,,"Foothill Main",,"13919 Lynde Ave, Saratoga, CA 95070",,Game,,12CGFS2,,0,12CGFS2,,CGFS2,TRUE,,,,,,,,,
3/12/22,22:00,3/13/22,0:00,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12CGFS1,,,,,,,,,,,,
3/12/22,16:30,3/12/22,18:30,,,"Ortega (Ortega if only hosting one game )",,"611 Inverness Way, Sunnyvale, CA 94087",,Game,,12CGFS3,,0,12CGFS3,,CGFS3,TRUE,,,,,,,,,
3/17/22,17:30,3/17/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS2,,1,12CGFS3,,,,,,,,,,,,
3/17/22,17:30,3/17/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS1,,1,12WVS4,,WVS4,TRUE,,,,,,,,,
3/17/22,17:30,3/17/22,19:30,,,"Bagby Elementary, Field 1",,"1840 Harris Avenue San Jose 95124",,Game,,12CGFS4,,0,12CGFS4,,CGFS4,TRUE,,,,,,,,,
3/19/22,15:00,3/19/22,17:00,,,"Bret Harte #1",,"Bret Harte Middle School  - 7050 Bret Harte Drive, San Jose CA",,Game,,12CGFS3,,0,12CGFS3,,CGFS3,TRUE,,,,,,,,,
3/19/22,21:00,3/19/22,23:00,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS2,,1,12SGSL2,,SGSL2,TRUE,,,,,,,,,
3/19/22,21:00,3/19/22,23:00,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12SSJ1,,SSJ1,TRUE,,,,,,,,,
3/19/22,22:00,3/20/22,0:00,,,"Dixon Major",,"Milmont Dr & Jurgens Dr, 1313 N Milpitas Blvd #159, Milpitas, CA 95035",,Game,,12CGFS1,,0,12CGFS1,,CGFS1,TRUE,,,,,,,,,
3/24/22,17:30,3/24/22,19:30,,,"Bret Harte #1",,"Bret Harte Middle School  - 7050 Bret Harte Drive, San Jose CA",,Game,,12CGFS2,,0,12CGFS2,,CGFS2,TRUE,,,,,,,,,
3/24/22,17:30,3/24/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS1,,1,12CGFS3,,,,,,,,,,,,
3/24/22,17:30,3/24/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12WVS3,,WVS3,TRUE,,,,,,,,,
3/26/22,12:45,3/26/22,14:45,,,"Bagby Elementary, Field 3",,"1840 Harris Avenue San Jose 95124",,Game,,12CGFS4,,0,12CGFS4,,CGFS4,TRUE,,,,,,,,,
3/26/22,21:00,3/26/22,23:00,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS1,,1,12BHS2,,BHS2,TRUE,,,,,,,,,
3/26/22,21:00,3/26/22,23:00,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS2,,1,12BHS1,,BHS1,TRUE,,,,,,,,,
3/26/22,17:30,3/26/22,19:30,,,"Ortega (Ortega if only hosting one game )",,"611 Inverness Way, Sunnyvale, CA 94087",,Game,,12CGFS3,,0,12CGFS3,,CGFS3,TRUE,,,,,,,,,
